MatchID,SeasonMatchNumber,TeamName,Date_of_Match,Opponent,HomeOrAway,Outcome,GoalsFor,GoalsAgainst,Assists,MatchLength,FirstHalfLength,SecondHalfLength,Formation,Starters,Substitutes,Captains,CurrentStanding,PossessionPercent,ShotsFor,ShotsAgainst,ShotsOnGoal,ShotsOnGoalAgainst,BlockedShots,TotalPasses,PassingAccuracyPercentage,CornersFor,CornersAgainst,CrossesFor,CrossesAgainst,DualsWon,Saves,Clearances,FoulsPerpetrated,FoulsAgainst,YellowCardsRecieved,RedCardsRecieved,OwnGoals,ThrowInsFor,GoalsInMatchFor,GoalsInMatchAgainst,PKTime,PKsPlayers,PKScored,DirectionFor,HeightFor,OnWWOutFor,TouchedFor,DirectionAgainst,HeightAgainst,OnWWOutAgainst,TouchedAgainst,
ccdd,xxx,As seen on Team ID sheet,ddmmyyyy,TeamID,home or away,"W, L, or D",xx,xx,xx,mmmss,mmss,mmss,x-x-x-x...,"""pp, pp, pp...""","""iioohmmm, ...""","""pp, pp ...""",xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,"""ppaahmmmss, ppaahmmss""","""kkhmmmss""","""hmmmss, hmmmss""","""Spp or Kpp, ...""","""Y or N or R""","""R or L or C or NA""","""L or M or H or NA""","""On or WW or Off or NA""","""Y or N or NA""","""R or L or C or NA""","""L or M or H or NA""","""On or WW or Off or NA""","""Y or N or NA""",
0907,042,Orlando Pride,01052024,07,Home,W,04,01,03,10605,5002,5603,4-4-2,"""01, 25, 03, 04, 06, 28, 02, 15, 20, 22, 11""","""12202066, 29282076, 31252076, 30222083, 07112083""","""03""",01,34,14,07,12,02,03,206,68,06,02,10,05,66,00,11,11,14,00,00,01,37,"""1122102847, 2211103944, 20XX104650, 2212207614""","""01205142""",X,X,X,X,X,X,X,X,X,X,X,
0707,042,North Carolina Courage,01052024,09,Away,L,01,04,00,10605,5002,5603,4-2-3-1,"""01, 13, 03, 07, 11, 10, 06, 14, 02, 05, 34""","""94052058, 23142058, 08342066, 17022067, 16062077""","""10""",02,66,07,14,02,12,02,505,85,02,06,05,10,49,05,15,14,11,01,00,00,20,"""OG06205142""","""01102847, 01103944, 01104650, 01207614""",X,X,X,X,X,X,X,X,X,X,X,
1415,102,Washington Spirit,29062024,07,Home,L,00,01,00,10415,5130,5245,4-2-3-1,"""01, 03, 05, 09, 14, 17, 26, 16, 07, 02, 11""","""06162046, 08142063, 22262063, 33072074, 13112074""","""01""",03,48,20,08,13,07,09,344,79,08,05,17,10,43,04,09,10,06,01,00,00,29,X,"""01101857""",X,X,X,X,X,X,X,X,X,X,X,
0715,102,North Carolina Courage,29062024,14,Away,W,01,00,00,10415,5130,5245,4-2-3-1,"""01, 13, 03, 07, 11, 06, 10, 23, 08, 14, 02""","""05231044, 94082064, 25142064, 17022089""","""10""",06,52,08,20,07,13,02,412,86,05,08,10,17,46,04,18,06,10,01,00,00,20,"""02XX101857""",X,X,X,X,X,X,X,X,X,X,X,X,
0113,091,Angel City FC,19062024,11,Home,W,03,02,02,10612,5504,5108,4-2-3-1,"""13, 27, 06, 11, 12, 99, 07, 21, 17, 20, 02""","""03272046, 10122058, 28072077, 16202077, 29172084""","""11""",11,52,11,16,06,09,02,349,78,04,06,11,21,57,02,26,12,15,04,00,00,19,"""1727101635, 07XX103154, 0221208408""","""13104016, 13206345""","""104016""","""K13""",Y,NA,NA,NA,NA,R,M,On,N,
1113,091,Racing Louisville FC,19062024,01,Away,L,02,03,01,10612,5504,5108,4-2-3-1,"""01, 02, 03, 20, 16, 26, 14, 09, 07, 29, 23""","""13092046, 06142067, 66232093, 21292093""","""20, 06""",08,48,16,11,09,06,05,306,76,06,04,21,11,55,01,21,15,12,03,00,00,25,"""26XX104016, 1613206345""","""01101635, 01103154, 01208408""","""104016""","""S26""",Y,R,M,On,N,NA,NA,NA,NA,
0516,108,Kansas City Current,06072024,09,Home,L,01,02,01,10701,5105,5556,4-2-3-1,"""21, 18, 12, 07, 04, 14, 10, 06, 94, 17, 99""","""22942057, 05142071, 78072086""","""10""",01,57,23,15,13,11,05,266,74,05,05,26,11,52,03,19,19,10,04,00,00,26,"""0618103808""","""21103625, 21206222""","""206222""",K21,Y,NA,NA,NA,NA,M,M,On,N,
0916,108,Orlando Pride,06072024,05,Away,W,02,01,00,10701,5105,5556,4-4-1-1,"""01, 12, 06, 03, 25, 20, 15, 28, 09, 22, 10""","""04201044, 02282046, 31152070, 11092070, 32102090, FR121042""","""10, 03""",02,43,15,23,11,13,06,191,68,05,05,11,26,48,07,24,10,19,01,01,00,20,"""22XX103625, 10XX206222""","""01103808""","""206222""",S10,Y,M,M,On,N,NA,NA,NA,NA,
0813,088,Seattle Reign FC,16062024,10,Home,D,00,00,00,10222,4508,5714,4-2-3-1,"""01, 22, 03, 21, 11, 10, 05, 09, 91, 24, 08""","""33052046, 23242062, 25222076, 47082089, 12912089""","""03""",13,53,10,06,05,03,03,441,84,03,02,26,12,47,01,20,11,09,02,00,00,16,X,X,X,X,X,X,X,X,X,X,X,X,X,
1013,088,Portland Thorns FC,16062024,08,Away,D,00,00,00,10222,4508,5714,4-2-3-1,"""18, 02, 20, 04, 23, 08, 24, 16, 21, 15, 12""","""19122062, 25152073, 54212087, 11022087""","""04""",04,47,06,10,03,05,02,381,78,02,03,12,26,49,02,23,09,11,03,00,00,24,X,X,X,X,X,X,X,X,X,X,X,X,X,
0605,041,NJ/NY Gotham FC,28042024,11,Home,D,01,01,01,10758,5028,5730,4-3-3,"""30, 02, 21, 06, 03, 17, 14, 18, 10, 09, 19""","""28092046, 16102074, 13192074, 33142089""","""10, 17""",11,58,19,10,16,06,12,380,81,03,02,17,07,44,05,07,20,08,03,00,00,32,"""1613209638""","""30209451""",X,X,X,X,X,X,X,X,X,X,X,
