MatchID,SeasonMatchNumber,TeamName,Date_of_Match,Opponent,HomeOrAway,Outcome,GoalsFor,GoalsAgainst,Assists,MatchLength,FirstHalfLength,SecondHalfLength,Formation,Starters,Substitutes,Captains,CurrentStanding,PossessionPercent,ShotsFor,ShotsAgainst,ShotsOnGoal,ShotsOnGoalAgainst,BlockedShots,TotalPasses,PassingAccuracyPercentage,CornersFor,CornersAgainst,CrossesFor,CrossesAgainst,DualsWon,Saves,Clearances,FoulsPerpetrated,FoulsAgainst,YellowCardsRecieved,RedCardsRecieved,OwnGoals,ThrowInsFor,GoalsInMatchFor,GoalsInMatchAgainst,PKTime,PKsPlayers,PKScored,DirectionFor,HeightFor,OnWWOutFor,TouchedFor,DirectionAgainst,HeightAgainst,OnWWOutAgainst,TouchedAgainst
ccdd,,As seen on Team ID sheet,ddmmyyyy,TeamID,home or away,"W, L, or D",xx,xx,xx,mmmss,mmss,mmss,x-x-x-x...,"""pp, pp, pp...""","""iioohmmm, ...""","""pp, pp ...""",xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,"""ppaahmmmss, ppaahmmss""","""kkhmmmss""","""hmmmss, hmmmss""","""Spp or Kpp, ...""","""Y or N or R""","""R or L or C or NA""","""L or M or H or NA""","""On or WW or Off or NA""","""Y or N or NA""","""R or L or C or NA""","""L or M or H or NA""","""On or WW or Off or NA""","""Y or N or NA"""
0812,082,Seattle Reign,09062024,05,Away,L,02,05,XX,11002,5100,5902,4-4-2,"""18, 11, 04, 25, 21, 24, 06, 10, 23, 08, 09""","""91082056, 33062056, 03212057, 22152075, 47232079""",10,13,49,13,12,08,08,01,313,74,05,06,14,17,63,02,21,06,11,01,XX,XX,16,"""09XX102316, 09XX104025""","""18102723, 18104612, 18204526, 18204629, 18206617""",206617,K18,Y,NA,NA,NA,NA,R,M,On,N
0208,051,Bay FC,05052024,03,Home,L,01,02,XX,10651,5146,5505,4-3-3,"""00, 02, 05, 27, 03, 18, 14, 15, 17, 12, 11""","""04052056, 10152066, 20072066, 19142066, 24112091""",12,10,58,09,09,04,07,02,377,80,02,05,12,13,49,02,18,09,08,01,XX,XX,32,"""12XX100708""","""00102946, 00206229""",208019,K00,N,NA,NA,NA,NA,R,L,On,Y
0308,051,Chicago Redstar FC,05052024,02,Away,W,02,01,01,10651,5146,5505,4-2-3-1,"""01, 28, 12, 03, 23, 13, 04, 08, 34, 09, 55""","""32232046, 24082083, 33552096""","""01""",05,42,09,09,07,04,03,234,70,05,02,13,12,50,01,25,08,09,01,XX,XX,32,"""5503102946, 34XX206229""","""01100708""",208019,S09,N,R,L,On,Y,NA,NA,NA,NA
0306,038,Chicago Redstar FC,27042024,10,Home,L,XX,02,XX,10719,5200,5519,4-2-3-1,"""01, 32, 03, 12, 23, 04, 05, 55, 34, 24, 09""","""11232057, 13052057, 26552065, 10342077, 30242077""","""01""",03,46,16,13,10,11,06,289,75,07,02,21,15,64,06,24,11,10,01,XX,XX,22,XX,"""01100931, 01102518""",XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
1006,038,Portland Thorns,27042024,03,Away,W,02,XX,02,10719,5200,5519,4-3-3,"""18, 23, 05, 04, 02, 21, 17, 08, 22, 12, 09""","""16122046, 13212061, 25232061, 15222074, 19092087""","""04""",09,54,13,16,11,10,02,359,78,02,07,15,21,47,03,22,10,11,03,XX,XX,23,"""0908100931, 0912102518""",XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
1411,071,Washington Spirit,24052024,08,Home,W,03,02,01,10153,5100,5053,4-2-3-1,"""01, 03, 05, 09, 14, 17, 12, 06, 07, 02, 11""","""16062067, 13022073, 33112073, 04072085""","""01""",03,55,10,13,08,08,01,349,77,01,06,08,21,61,02,25,11,15,XX,XX,XX,21,"""07XX102052, 12XX103845, 1107104423""","""01104920, 4710209506""",103845,S12,Y,L,L,On,N,NA,NA,NA,NA
0811,071,Seattle Reign,24052024,14,Away,L,02,03,02,10153,5100,5053,4-4-2,"""18, 11, 04, 03, 21, 33, 06, 10, 23, 91, 24""","""07332046, 09082060, 47232072, 17212085, 12912085""","""03""",13,45,13,10,08,08,04,245,70,06,01,21,08,64,04,13,15,11,02,XX,XX,35,"""2421104920, 4710209506""","""18102052, 18103845, 18104423""",103845,K18,Y,NA,NA,NA,NA,L,L,On,N
0106,036,Angel City FC,26042024,05,Home,L,01,03,01,09745,4610,5135,3-4-3,"""13, 11, 06, 27, 21, 07, 99, 03, 17, 02, 10""","""06102070, 08992070, 20212080, 05032081""","""11, 05""",07,49,13,25,12,17,06,331,78,09,03,18,14,52,07,22,09,12,02,XX,XX,34,"""1021103337""","""13205336, 13208917, 13209240""",XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
0506,036,Kansas City Current,26042024,01,Away,W,03,01,03,09745,4610,5135,4-2-3-1,"""21, 05, 12, 24, 18, 22, 14, 06, 16, 77, 09""","""04052046, 17772046, 94092063, 99162073, 10222073""",21,01,51,25,13,17,12,07,363,81,03,09,14,18,56,05,22,12,09,03,XX,XX,20,"""1609205336, 9418208917, 9406209240""","""21103337""",XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
0614,098,Gotham FC,23062024,14,Home,L,XX,02,XX,10938,5533,5405,4-1-4-1,"""30, 02, 15, 06, 22, 14, 18, 17, 16, 19, 28""","""FR181054, 07142061, 08162061, 27222086, 13022087""",15,04,51,10,12,07,08,03,322,80,03,04,14,08,40,05,09,11,11,02,01,XX,24,XX,"""30102601, 30204621""",208924,S28,N,L,L,On,Y,NA,NA,NA,NA
1414,098,Washington Spirit,23062024,06,Away,W,02,XX,02,10938,5533,5405,4-2-3-1,"""01, 14, 09, 05, 03, 12, 17, 02, 07, 16, 11""","""26122065, 33112065, 06162075, 13022075, 22072091""","""01""",03,49,12,10,08,07,01,316,80,04,03,08,14,58,03,19,11,11,02,XX,XX,17,"""1607102601, 0203204621""",XX,208924,K01,N,NA,NA,NA,NA,L,L,On,Y
0714,096,Carolina Courage,23062024,03,Home,W,03,01,02,10345,5004,5341,4-2-3-1,"""01, 11, 07, 03, 13, 16, 06, 05, 02, 14, 08""","""94082061, 10162062, 23142071, 25022079, 17062079""","""03, 10""",07,56,14,09,12,05,04,428,85,01,02,17,06,45,03,10,09,09,03,XX,XX,21,"""1408101547, 02XX205031, 2523208027""","""01101131""",XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
0314,096,Chicago Redstar FC,23062024,07,Away,L,01,03,XX,10345,5004,5341,4-4-2,"""01, 23, 41, 03, 12, 24, 13, 04, 15, 34, 09""","""08341023, 10152062, 11242062, 05132062, 33082079""","""01""",06,44,09,14,05,12,01,303,77,02,01,06,17,43,04,10,09,09,01,XX,XX,29,"""09XX101131""","""01101547, 01205031, 01208027""",XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
